t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1684710301,926,2422,29.500000,0,198.260542,2.000000,5.000000,30.000000,319.440000,1008.460000,2422.000000
1684710331,978,2422,28.062372,0,193.008809,2.000000,5.000000,29.050000,176.920000,1007.420000,2422.000000
1684710361,1004,2422,27.389442,0,190.535946,2.000000,5.000000,28.750000,144.900000,983.350000,2421.730000
1684710391,1056,2422,25.832685,0,185.833351,2.000000,5.000000,27.000000,144.000000,531.680000,2420.434000
1684710421,1082,2422,24.651751,0,182.869349,2.000000,5.000000,25.000000,135.880000,525.130000,2420.434000
1684710451,1134,2422,24.431907,0,182.840708,2.000000,5.000000,24.100000,104.480000,525.130000,2420.434000
1684710481,1160,2422,23.325875,0,179.801535,2.000000,5.000000,22.550000,79.040000,522.710000,2420.434000
1684710511,1212,2422,22.335603,0,177.149421,2.000000,5.000000,22.000000,71.680000,503.440000,2420.434000
1684710541,1238,2422,21.886187,0,176.684040,2.000000,5.000000,21.100000,68.840000,503.440000,2420.434000
1684710571,1290,2422,21.584630,0,176.646759,2.000000,5.000000,19.550000,67.420000,503.440000,2420.434000
1684710601,1316,2422,20.931907,0,175.933579,2.000000,5.000000,18.000000,50.260000,454.810000,2420.434000
1684710631,1368,2422,20.896887,0,175.936269,2.000000,5.000000,18.000000,50.260000,454.810000,2420.434000
1684710661,1394,2422,20.888132,0,175.937130,2.000000,5.000000,18.000000,50.260000,454.810000,2420.434000
1684710691,1446,2422,20.739300,0,175.938829,2.000000,4.000000,17.000000,47.260000,454.810000,2420.434000
1684710721,1472,2422,20.663424,0,175.933464,2.000000,4.000000,17.000000,46.000000,454.810000,2420.434000
1684710751,1524,2422,20.071984,0,175.206371,2.000000,4.000000,16.000000,43.680000,444.390000,2420.434000
1684710781,1550,2422,19.997082,0,175.209789,2.000000,4.000000,16.000000,43.680000,444.390000,2420.434000
1684710811,1602,2422,19.877432,0,175.201346,2.000000,4.000000,16.000000,41.420000,444.390000,2420.434000
1684710841,1628,2422,19.838521,0,175.204944,2.000000,4.000000,16.000000,41.420000,444.390000,2420.434000
1684710871,1680,2422,19.885214,0,175.205281,2.000000,4.000000,16.550000,41.420000,444.390000,2420.434000
1684710901,1706,2422,19.845331,0,175.206781,2.000000,4.000000,16.000000,41.420000,444.390000,2420.434000
1684710931,1758,2422,19.761673,0,175.210183,2.000000,4.000000,16.000000,41.000000,444.390000,2420.434000
1684710961,1784,2422,19.752918,0,175.210952,2.000000,4.000000,16.000000,41.000000,444.390000,2420.434000
1684710991,1836,2422,19.716926,0,175.213840,2.000000,4.000000,16.000000,41.000000,444.390000,2420.434000
1684711021,1862,2422,19.654669,0,175.216423,2.000000,4.000000,16.000000,41.000000,444.390000,2420.434000
1684711051,1914,2422,19.605058,0,175.218255,2.000000,4.000000,15.000000,41.000000,444.390000,2420.434000
1684711081,1940,2422,19.561284,0,175.217442,2.000000,4.000000,15.000000,38.100000,444.390000,2420.434000
1684711111,1992,2422,19.571012,0,175.216494,2.000000,4.000000,15.000000,38.100000,444.390000,2420.434000
1684711141,2018,2422,19.492218,0,175.211440,2.000000,4.000000,15.000000,34.840000,444.390000,2420.434000
1684711171,2070,2422,18.990272,0,174.681103,2.000000,4.000000,15.000000,33.420000,375.070000,2420.434000
1684711201,2096,2422,18.968872,0,174.682985,2.000000,4.000000,15.000000,33.420000,375.070000,2420.434000
1684711231,2148,2422,18.900778,0,174.686995,2.000000,4.000000,14.550000,33.420000,375.070000,2420.434000
1684711261,2174,2422,18.892023,0,174.687778,2.000000,4.000000,14.550000,33.420000,375.070000,2420.434000
1684711291,2226,2422,18.846304,0,174.686437,2.000000,4.000000,14.550000,32.420000,375.070000,2420.434000
1684711321,2252,2422,18.843385,0,174.686738,2.000000,4.000000,14.550000,32.420000,375.070000,2420.434000
1684711351,2304,2422,18.822957,0,174.688483,2.000000,4.000000,14.550000,32.420000,375.070000,2420.434000
1684711381,2330,2422,18.776265,0,174.691077,2.000000,4.000000,14.000000,32.420000,375.070000,2420.434000
1684711411,2382,2422,18.757782,0,174.691924,2.000000,4.000000,14.000000,32.420000,375.070000,2420.434000
1684711441,2408,2422,18.747082,0,174.692781,2.000000,3.750000,14.000000,32.420000,375.070000,2420.434000
1684711471,2460,2422,18.732490,0,174.694134,1.000000,3.750000,14.000000,32.420000,375.070000,2420.434000
1684711501,2486,2422,18.322957,0,174.203092,1.000000,4.000000,14.000000,29.680000,198.960000,2420.434000
1684711531,2538,2422,18.315175,0,174.202917,1.000000,4.000000,14.000000,29.680000,198.960000,2420.434000
1684711561,2564,2422,18.276265,0,174.206023,1.000000,3.000000,14.000000,29.680000,198.960000,2420.434000
1684711591,2616,2422,18.224708,0,174.209080,1.000000,3.000000,13.550000,29.680000,198.960000,2420.434000
1684711621,2642,2422,18.208171,0,174.210120,1.000000,3.000000,13.000000,29.680000,198.960000,2420.434000
1684711651,2694,2422,18.068093,0,174.166015,1.000000,3.000000,13.000000,26.260000,194.610000,2420.434000
1684711681,2720,2422,15.728599,0,157.960977,1.000000,3.000000,13.000000,23.000000,106.510000,2419.129000
1684711711,2772,2422,15.728599,0,157.961193,1.000000,3.000000,13.000000,23.000000,106.510000,2419.129000
1684711741,2798,2422,15.701362,0,157.963153,1.000000,3.000000,13.000000,23.000000,106.510000,2419.129000
1684711771,2850,2422,15.684825,0,157.964461,1.000000,3.000000,13.000000,23.000000,106.510000,2419.129000
1684711801,2876,2422,13.016537,0,141.310278,1.000000,3.000000,12.550000,22.000000,44.550000,2419.129000
1684711831,2928,2422,12.980545,0,141.312534,1.000000,3.000000,12.000000,22.000000,44.550000,2419.129000
